id,nome,diametro_min_m,diametro_max_m,velocidade_km_s,distancia_km,ameaca
2468005,468005 (2012 XD112),153.6579294004,343.5895754212,5.2376487185,57447412.619376466,True
2470310,470310 (2007 LB15),318.0936332215,711.2789870931,21.4551073064,31246493.284056813,True
3595926,(2012 BV1),1.6770846216,3.750075218,14.4182401781,30428943.422791243,False
3645042,(2013 ND15),40.2304579834,89.9580388169,17.1836491372,10924963.609943919,False
3733849,(2015 VL64),5.8150703965,13.0028927004,12.6894884257,55126019.03985437,False
3753693,(2016 LR1),50.6471458835,113.2504610618,6.0283597359,14173104.131004926,False
3756910,(2016 PC1),80.2703167283,179.4898847799,5.0900868801,41862810.77231688,False
3840758,(2019 GA),50.8809224871,113.773201439,22.7359413732,35732211.96962874,False
3943360,(2019 YV1),23.9086457171,53.4613570733,4.8494633551,8249174.725882638,False
3751725,(2016 GU216),540.2004935068,1207.9250249602,22.1095386641,49305521.04853796,False
3753834,(2016 LV9),25.3837029364,56.7596852866,8.9612726446,13276197.16243939,False
3753856,(2016 LH10),24.1298696921,53.9560289198,8.7049971017,8626444.801366927,False
3753662,(2016 LT),131.3877806011,293.7920088369,12.5870659341,21566773.068924952,False
3753831,(2016 LR9),26.8259417119,59.9846292283,7.9769422926,10106695.768661069,False
3759354,(2016 RS33),110.8038821264,247.7650126055,11.1024021183,40760522.48872555,False
3766296,(2017 AH3),58.1507039646,130.0289270043,10.5437572497,26087566.396298144,False
3256322,(2004 TE10),38.4197891064,85.9092601232,14.0505712493,6786931.961224634,False
3445605,(2009 CV),37.0301078223,82.8018383048,4.6873157728,4766298.39183019,False
3640744,(2013 LF16),110.8038821264,247.7650126055,22.230386308,48175345.4630508,False
3759664,(2016 SA),192.5550781879,430.566244241,15.6202143864,53320703.62952323,False
3766236,(2016 YY10),17.561231848,39.2681081809,8.2249819805,44100467.42281966,False
3824982,(2018 KN),20.1629919443,45.0858206172,15.5139831817,52446894.12329209,False
3831076,(2018 SY2),183.8886720703,411.1875710413,13.9927261867,50129291.90730791,False
2450237,450237 (2002 XY38),61.4546821229,137.4168467624,9.4862053161,45152703.10146852,False
2523707,523707 (2014 JM25),138.852907036,310.4845390059,4.398032902,47572995.60845081,False
3644815,(2013 NH10),63.7609789875,142.5738833281,12.2318008388,59915129.04240895,False
3753791,(2016 LY8),65.8498782919,147.2448041708,10.0326289423,5125717.970752895,False
3754379,(2016 NR),46.1907460282,103.2856480504,8.3294664848,8256080.178521625,False
3893769,(2019 WJ6),36.6906137531,82.0427064882,33.1811586668,58344204.008627646,False
3067492,(2000 YS134),41.7402433392,93.3340215038,10.9915508077,51753950.94017537,False
3278744,(2005 KR),119.8270800671,267.9414965754,12.7658719218,36767427.47973366,False
3584575,(2011 UW255),44.5199816448,99.5497053148,12.6491868081,45694963.964665815,False
3621773,(2012 YP6),136.3185558649,304.8175575085,11.5889905105,66561087.92955227,False
3739154,(2016 AF2),6.9912523225,15.6329154409,7.3218316337,40310396.23098002,False
3739066,(2015 YD10),46.1907460282,103.2856480504,15.4718838052,58253140.86800018,False
3740342,(2016 AU192),110.8038821264,247.7650126055,18.8557740651,47926825.3133631,False
3752416,(2016 HM2),157.2370823638,351.5928047493,6.5393792959,42710745.54671687,False
3752801,(2016 JM6),110.8038821264,247.7650126055,8.569623678,17113090.094023112,False
3753661,(2016 KW3),80.2703167283,179.4898847799,10.2071974424,31752454.059540953,False
